"Add_on","Visible","Infrared","Thermal"
"no",94.55,85.71,85.71
"ex",99.09,NA,NA
"sp",80,NA,NA
"ca",61.82,NA,NA
"to",41.82,42.86,71.43
"ma",60.91,NA,NA
"ga",86.36,85.71,85.71
"ts",30,NA,NA
"cs",64.55,NA,NA
"ms",50,NA,NA
"cg",60,NA,NA
"cm",25.45,NA,NA
"gt",32.73,NA,14.29
"gm",46.36,42.86,28.57
"gz",30.91,NA,57.14
"sz",23.64,NA,NA
