"Add_on","Visible","Infrared","Thermal"
"no",96.36,71.43,57.14
"ex",99.09,NA,NA
"sp",90,NA,NA
"ca",66.36,NA,NA
"to",29.09,NA,NA
"ma",36.36,NA,NA
"ga",80.91,28.57,85.71
"ts",8.18,NA,NA
"cs",64.55,NA,NA
"ms",20,NA,NA
"cg",53.64,NA,NA
"cm",6.36,NA,NA
"gt",7.27,NA,14.29
"gm",9.09,NA,14.29
"gz",1.82,NA,NA
"sz",4.55,NA,NA
